".htaccess Content",".htaccess Content"
".htaccess Editor [Beta]",".htaccess Editor [Beta]"
"  <a href="http://www.robotsgenerator.com/?utm_source=mageplaza.com&utm_medium=seo-extension&utm_campaign=configuration" target="_blank">Robots.txt generator</a> ","  <a href="http://www.robotsgenerator.com/?utm_source=mageplaza.com&utm_medium=seo-extension&utm_campaign=configuration" target="_blank">Robots.txt generator</a> "
" Default URL: http://your-domain.com/seo/sitemap/ "," Default URL: http://your-domain.com/seo/sitemap/ "
" Download <a href="https://github.com/mageplaza/magento-htaccess-extension/blob/master/.htaccess" target="_blank">.htaccess file</a> "," Download <a href="https://github.com/mageplaza/magento-htaccess-extension/blob/master/.htaccess" target="_blank">.htaccess file</a> "
" E.g: <b>com.example</b>"," E.g: <b>com.example</b>"
" Learn more <a href="http://ogp.me/">Open Graph</a> "," Learn more <a href="http://ogp.me/">Open Graph</a> "
" Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122353-sitelinks-search-box" target="_blank">Sitelinks Search Box</a> "," Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122353-sitelinks-search-box" target="_blank">Sitelinks Search Box</a> "
" Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122357">Include Your Site Name in Search Results</a> "," Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122357">Include Your Site Name in Search Results</a> "
" Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122358">Breadcrumbs</a> "," Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122358">Breadcrumbs</a> "
" Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122360">Customizing Your Knowledge Graph</a> "," Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122360">Customizing Your Knowledge Graph</a> "
" Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122361--rich-snippets/">Rich Snippets</a> "," Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122361--rich-snippets/">Rich Snippets</a> "
" Learn more <a href="https://support.google.com/webmasters/answer/189077?hl=en">here</a>"," Learn more <a href="https://support.google.com/webmasters/answer/189077?hl=en">here</a>"
" Line by line. <br> Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122359">Social Profile Links</a> "," Line by line. <br> Learn more <a href="https://mageplaza.freshdesk.com/support/solutions/articles/6000122359">Social Profile Links</a> "
" Your account: twitter.com/Mark, you should fill: <strong>Mark</strong> "," Your account: twitter.com/Mark, you should fill: <strong>Mark</strong> "
" "," "
"Add Canonical URL Meta","Add Canonical URL Meta"
"Add Link Rel="alternate"","Add Link Rel="alternate""
"Add Nofollow meta in Product Gallery","Add Nofollow meta in Product Gallery"
"Add Nofollow meta in Search Result","Add Nofollow meta in Search Result"
"Add Open Graph and Twitter Card","Add Open Graph and Twitter Card"
"Add Sitemap Link to Footer","Add Sitemap Link to Footer"
"Android App Code","Android App Code"
"Auto Setup SEO Basic","Auto Setup SEO Basic"
"Auto set page title, meta description","Auto set page title, meta description"
"Categories","Categories"
"Enable Breadcrumbs","Enable Breadcrumbs"
"Enable Categories","Enable Categories"
"Enable HTML Sitemap","Enable HTML Sitemap"
"Enable Organization Information","Enable Organization Information"
"Enable Rich Snippets","Enable Rich Snippets"
"Enable Sitelinks Search Box","Enable Sitelinks Search Box"
"Enable Sitelinks Search Box For App","Enable Sitelinks Search Box For App"
"Error","Error"
"Error during Save htaccess.txt.","Error during Save htaccess.txt."
"Error during Save robot.txt.","Error during Save robot.txt."
"General","General"
"In stock","In stock"
"Include Your Site Name in Search Results","Include Your Site Name in Search Results"
"Mageplaza SEO","Mageplaza SEO"
"Meta Robots","Meta Robots"
"Out of stock","Out of stock"
"Page title and Meta Description","Page title and Meta Description"
"Products","Products"
"Rich Snippets | Structured Data","Rich Snippets | Structured Data"
"Robots.txt Editor [Beta]","Robots.txt Editor [Beta]"
"Seo","Seo"
"Social Media Profiles","Social Media Profiles"
"Success","Success"
"Twitter Account","Twitter Account"
"mageplaza","mageplaza"
"robots.txt Content","robots.txt Content"
