"PageSpeed Insight","PageSpeed Insight"
Store,Store
"Local Business","Local Business"
"Auto Parts Store","Auto Parts Store"
"Bike Store","Bike Store"
"Book Store","Book Store"
"Clothing Store","Clothing Store"
"Computer Store","Computer Store"
"Convenience Store","Convenience Store"
"Department Store","Department Store"
"Electronics Store","Electronics Store"
"Florist Store","Florist Store"
"Furniture Store","Furniture Store"
"Garden Store","Garden Store"
"Grocery Store","Grocery Store"
"Hardware Store","Hardware Store"
"Hobby Shop","Hobby Shop"
"Home Goods Store","Home Goods Store"
"Jewelry Store","Jewelry Store"
"Liquor Store","Liquor Store"
"Mens Clothing Store","Mens Clothing Store"
"Mobile Phone Store","Mobile Phone Store"
"Movie Rental Store","Movie Rental Store"
"Music Store","Music Store"
"Office Equipment Store","Office Equipment Store"
"Outlet Store","Outlet Store"
"Pawn Shop","Pawn Shop"
"Pet Store","Pet Store"
"Shoe Store","Shoe Store"
"Sporting Goods Store","Sporting Goods Store"
"Tire Shop","Tire Shop"
"Toy Store","Toy Store"
"Wholesale Store","Wholesale Store"
gtin8,gtin8
gtin13,gtin13
gtin14,gtin14
mpn,mpn
None,None
"+7 days","+7 days"
"+30 days","+30 days"
"+60 days","+60 days"
"+1 year","+1 year"
Custom,Custom
"Can not add structured data","Can not add structured data"
"Please enter a valid phone number","Please enter a valid phone number"
SEO,SEO
General,General
Enable,Enable
"Duplicate Content","Duplicate Content"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Avoid duplicate content.","Avoid duplicate content."
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Structured Data","Structured Data"
"Enable Product Structured Data","Enable Product Structured Data"
"Disable this feature if your theme or module implements it's own product snippets. <a href=""https://developers.google.com/search/docs/data-types/products"" target=""_blank"">Learn more</a>","Disable this feature if your theme or module implements it's own product snippets. <a href=""https://developers.google.com/search/docs/data-types/products"" target=""_blank"">Learn more</a>"
Brand,Brand
"Default Price Valid Until","Default Price Valid Until"
"Select Specific Day","Select Specific Day"
"Model Field Name","Model Field Name"
"Learn more <a href=""https://schema.org/ProductModel"" target=""_blank"">here</a>","Learn more <a href=""https://schema.org/ProductModel"" target=""_blank"">here</a>"
"Model Value","Model Value"
"Recommend field: sku, barcode","Recommend field: sku, barcode"
"Enable Sitelinks Searchbox","Enable Sitelinks Searchbox"
"Learn more <a href=""https://developers.google.com/search/docs/data-types/sitelinks-searchbox"" target=""_blank"">here</a>","Learn more <a href=""https://developers.google.com/search/docs/data-types/sitelinks-searchbox"" target=""_blank"">here</a>"
"Business information","Business information"
"Enable Business Information","Enable Business Information"
"Learn more <a href=""https://developers.google.com/search/docs/data-types/corporate-contacts"" target=""_blank"">here</a>","Learn more <a href=""https://developers.google.com/search/docs/data-types/corporate-contacts"" target=""_blank"">here</a>"
"Business Name","Business Name"
"Business Type","Business Type"
"Customer Service Phone","Customer Service Phone"
"Customer Service Contact Option","Customer Service Contact Option"
"Customer Service Area Serve","Customer Service Area Serve"
"Technical Support Phone","Technical Support Phone"
"Technical Support Contact Option","Technical Support Contact Option"
"Technical Support Area Serve","Technical Support Area Serve"
"Sales Service Phone","Sales Service Phone"
"Sales Contact Option","Sales Contact Option"
"Sales Area Serve","Sales Area Serve"
Image,Image
"Image URL","Image URL"
"Street Address","Street Address"
City,City
State/Province,State/Province
"Zip/Postal Code","Zip/Postal Code"
Email,Email
Fax,Fax
"Price Range","Price Range"
Description,Description
"Social Profiles","Social Profiles"
Facebook,Facebook
Twitter,Twitter
Instagram,Instagram
YouTube,YouTube
Tiktok,Tiktok
LinkedIn,LinkedIn
"Custom Social Profile Links","Custom Social Profile Links"
Verifications,Verifications
"Google Search Console","Google Search Console"
"Enter verification code, it will be added into <head> tag","Enter verification code, it will be added into <head> tag"
"Bing Webmaster Tools","Bing Webmaster Tools"
Pinterest,Pinterest
"Yandex Webmaster Tools","Yandex Webmaster Tools"
